Series,Date,PM,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,O Xylene,Temperature,RH,WS,WD,SR,BP,VWS,RF,Mixing Height 
1,01-Jan-2019 - 00:00,233.39,55.37,104.26,159.63,16.2,15.99,0.24,36.77,13.11,25.28,5.19,3.02,16.96,55.5,0.3,232.41,134.26,1014.88,0.03,0,0.692308
2,02-Jan-2019 - 00:00,186.17,52.19,104.27,156.46,17.49,13.76,0.25,40.69,12.16,27.97,4.15,2.42,17.68,54.62,0.27,216.2,133.73,1014.5,0.04,0,0.692308
3,03-Jan-2019 - 00:00,299.45,172.4,155.54,327.94,10.76,27.58,0.24,35.37,26.11,39.69,8.79,8.83,17.32,58.46,0.2,227.11,115.84,1015.01,0.04,0,0.692308
4,04-Jan-2019 - 00:00,302.08,73.25,108.25,178.71,27.43,17,0.25,50.86,22.48,32.74,7.14,11.7,16.99,53.11,0.3,173.11,119.79,1015.65,0.04,0,0.692308
5,05-Jan-2019 - 00:00,253.62,72.53,113.37,185.9,23.85,14.53,0.24,31.54,17.24,36.83,6.04,3.57,17.28,56.68,0.22,218.55,135.57,1014,0.03,0,0.692308
6,06-Jan-2019 - 00:00,183.18,65.59,97.73,163.32,23.44,15.06,0.25,30.72,14.09,19.89,5.53,4.17,17.97,56.97,0.22,202.06,147.05,1012.12,0.04,0,0.692308
7,07-Jan-2019 - 00:00,179.81,109.34,128.39,234.54,22.78,18.96,0.24,27.47,21.01,28.74,8.03,11.41,18.54,57.03,0.22,253.37,144.08,1010.27,0.04,0,0.692308
8,08-Jan-2019 - 00:00,191.1,97.21,73.15,164.26,23.23,18.48,0.26,33.68,18.21,44.76,6.91,3.66,18.16,57.81,0.32,245.89,120.23,1009.84,0.06,0,0.692308
9,09-Jan-2019 - 00:00,206.16,117.88,51.19,163.19,18.68,17.79,0.24,41.03,19.37,35.14,7.42,3.39,18.04,58.92,0.22,240.78,110.12,1011.28,0.04,0,0.692308
10,10-Jan-2019 - 00:00,263.23,51.16,85.58,136.74,14.89,15.95,0.24,53.41,22.62,35.92,6.58,7.24,17.48,58.99,0.32,180.51,116.58,991,0.04,0,0.692308
11,11-Jan-2019 - 00:00,249.44,86.88,68.84,155.11,15.5,19.73,0.25,57.66,23.79,42.93,7.14,6.34,17.19,52.58,0.29,184.23,123.77,1012.75,0.03,0,0.692308
12,12-Jan-2019 - 00:00,258.72,157.42,58.13,210.7,10.51,16.5,0.25,38.06,22.36,53.46,7.7,4.64,17.78,58.28,0.26,233.05,119.83,1012.5,0.04,0,0.692308
13,13-Jan-2019 - 00:00,255.18,128.11,62.12,178.93,13.14,15.19,0.24,39.47,20.42,22.85,4.38,4.85,18.11,58.65,0.2,196.92,124.07,1012.26,0.04,0,0.692308
